fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,_count,_sum,_mean
,"4",Camino,"11",Camino 11,20231027_171504859380_559,68.000000000000000,66.000000000000000,0.970588235294118
,"4",Camino,"12",Camino 12,20231027_171618454101_685,1.991455584928626,1.970045478498796,0.989249016351727
,"4",Camino,"13",Camino 13,20231027_171823989898_195,30.000000000000000,21.000000000000000,0.700000000000000
,"4",Camino,"14",Camino 14,20231027_171944383264_922,96.000000000000000,55.000000000000000,0.572916666666667
,"4",Camino,"15",Camino 15,20231027_172052852281_867,25.000000000000000,16.000000000000000,0.640000000000000
,"1",Bosque antiguo,"22",Bosque antiguo 22,20231027_172207975964_397,12.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"34",Suelo 34,20231027_172311270788_952,64.000000000000000,24.000000000000000,0.375000000000000
,"4",Camino,"16",Camino 16,20231027_172447349442_542,70.000000000000000,49.000000000000000,0.700000000000000
,"2",Suelo,"35",Suelo 35,20231027_172535145215_957,119.000000000000000,76.000000000000000,0.638655462184874
,"4",Camino,"17",Camino 17,20231027_172617511648_836,79.000000000000000,48.000000000000000,0.607594936708861
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231027_154357726506_772,40.000000000000000,37.000000000000000,0.925000000000000
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231027_154440302807_457,14.000000000000000,14.000000000000000,1.000000000000000
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231027_154541604902_421,30.000000000000000,29.000000000000000,0.966666666666667
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231027_154601435623_104,38.000000000000000,31.000000000000000,0.815789473684211
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231027_154642073819_261,19.000000000000000,19.000000000000000,1.000000000000000
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231027_154715010722_851,36.000000000000000,36.000000000000000,1.000000000000000
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231027_154832910864_588,38.000000000000000,36.000000000000000,0.947368421052632
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231027_155042157557_886,17.000000000000000,16.000000000000000,0.941176470588235
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231027_155109476436_545,43.000000000000000,31.000000000000000,0.720930232558139
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231027_155156085662_558,26.000000000000000,26.000000000000000,1.000000000000000
,"1",Bosque antiguo,"11",Bosque antiguo 11,20231027_155228446097_568,12.000000000000000,12.000000000000000,1.000000000000000
,"1",Bosque antiguo,"12",Bosque antiguo 12,20231027_155257603493_143,12.000000000000000,12.000000000000000,1.000000000000000
,"1",Bosque antiguo,"13",Bosque antiguo 13,20231027_155421003748_956,18.000000000000000,18.000000000000000,1.000000000000000
,"1",Bosque antiguo,"14",Bosque antiguo 14,20231027_155455290918_821,27.000000000000000,27.000000000000000,1.000000000000000
,"1",Bosque antiguo,"15",Bosque antiguo 15,20231027_155548261680_955,61.000000000000000,56.000000000000000,0.918032786885246
,"2",Suelo,"1",Suelo 1,20231027_155639318683_216,82.000000000000000,2.000000000000000,0.024390243902439
,"2",Suelo,"2",Suelo 2,20231027_155703967833_587,60.000000000000000,6.000000000000000,0.100000000000000
,"2",Suelo,"3",Suelo 3,20231027_155724223114_203,62.000000000000000,3.000000000000000,0.048387096774194
,"2",Suelo,"4",Suelo 4,20231027_155803387824_707,91.000000000000000,7.000000000000000,0.076923076923077
,"2",Suelo,"5",Suelo 5,20231027_155858313919_163,66.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"6",Suelo 6,20231027_155926285966_357,60.000000000000000,3.000000000000000,0.050000000000000
,"2",Suelo,"7",Suelo 7,20231027_155944319172_263,79.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"8",Suelo 8,20231027_160008111425_165,126.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"9",Suelo 9,20231027_160033201737_450,69.000000000000000,6.000000000000000,0.086956521739130
,"2",Suelo,"10",Suelo 10,20231027_160111634489_486,109.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"11",Suelo 11,20231027_160147953105_901,75.000000000000000,0.000000000000000,0.000000000000000
,"1",Bosque antiguo,"16",Bosque antiguo 16,20231027_160250438415_741,27.000000000000000,8.000000000000000,0.296296296296296
,"1",Bosque antiguo,"17",Bosque antiguo 17,20231027_160314450747_535,48.000000000000000,27.000000000000000,0.562500000000000
,"2",Suelo,"12",Suelo 12,20231027_160345078708_244,103.000000000000000,0.000000000000000,0.000000000000000
,"1",Bosque antiguo,"18",Bosque antiguo 18,20231027_160509290983_597,40.000000000000000,13.000000000000000,0.325000000000000
,"2",Suelo,"13",Suelo 13,20231027_160540034187_822,135.000000000000000,31.000000000000000,0.229629629629630
,"2",Suelo,"14",Suelo 14,20231027_160603442443_372,82.000000000000000,1.000000000000000,0.012195121951220
,"2",Suelo,"15",Suelo 15,20231027_160719236185_125,77.000000000000000,9.000000000000000,0.116883116883117
,"1",Bosque antiguo,"19",Bosque antiguo 19,20231027_160816316648_795,12.000000000000000,2.000000000000000,0.166666666666667
,"1",Bosque antiguo,"20",Bosque antiguo 20,20231027_160912370642_632,34.000000000000000,18.000000000000000,0.529411764705882
,"3",Agua,"1",Agua 1,20231027_161153534229_471,81.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"2",Agua 2,20231027_161209660508_412,1023.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"3",Agua 3,20231027_161224888072_995,76.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"4",Agua 4,20231027_161243174840_229,100.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"5",Agua 5,20231027_161302336079_509,62.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"6",Agua 6,20231027_161323892046_331,194.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"7",Agua 6,20231027_161343395287_290,70.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"8",Agua 8,20231027_161417716972_674,60.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"9",Agua 9,20231027_161440143761_744,68.000000000000000,0.000000000000000,0.000000000000000
,"3",Agua,"10",Agua 10,20231027_161504540049_383,62.000000000000000,0.000000000000000,0.000000000000000
,"4",Camino,"1",Camino 1,20231027_161558086183_589,100.000000000000000,17.000000000000000,0.170000000000000
,"4",Camino,"2",Camino 2,20231027_161639588525_725,60.000000000000000,13.000000000000000,0.216666666666667
,"4",Camino,"3",Camino 3,20231027_161706275773_223,60.000000000000000,1.000000000000000,0.016666666666667
,"4",Camino,"4",Camino 4,20231027_161741498144_372,44.000000000000000,0.000000000000000,0.000000000000000
,"4",Camino,"5",Camino 5,20231027_161805210328_900,57.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"16",Suelo 16,20231027_162234242884_752,64.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"17",Suelo 17,20231027_162301087382_670,92.000000000000000,27.000000000000000,0.293478260869565
,"2",Suelo,"18",Suelo 18,20231027_162324137631_520,117.000000000000000,4.000000000000000,0.034188034188034
,"2",Suelo,"19",Suelo 19,20231027_162344832287_299,77.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"20",Suelo 20,20231027_162419299818_584,225.000000000000000,5.000000000000000,0.022222222222222
,"2",Suelo,"21",Suelo 21,20231027_163124583835_432,61.000000000000000,2.000000000000000,0.032786885245902
,"2",Suelo,"22",Suelo 22,20231027_163158714547_357,60.000000000000000,9.000000000000000,0.150000000000000
,"2",Suelo,"23",Suelo 23,20231027_163228730027_970,76.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"24",Suelo 24,20231027_164153644543_272,128.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"25",Suelo 25,20231027_164249015552_524,120.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"26",Suelo 26,20231027_164324658307_445,78.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"27",Suelo 27,20231027_164529290658_266,61.000000000000000,4.000000000000000,0.065573770491803
,"2",Suelo,"28",Suelo 28,20231027_164559296314_153,107.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"29",Suelo 29,20231027_164632086750_438,56.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"30",Suelo 30,20231027_164813672180_846,86.000000000000000,18.000000000000000,0.209302325581395
,"1",Bosque antiguo,"21",Bosque antiguo 21,20231027_165337790127_510,79.000000000000000,32.000000000000000,0.405063291139241
,"2",Suelo,"31",Suelo 31,20231027_165727670289_766,88.000000000000000,0.000000000000000,0.000000000000000
,"4",Camino,"6",Camino 6,20231027_170009102049_302,67.000000000000000,21.000000000000000,0.313432835820896
,"2",Suelo,"32",Suelo 32,20231027_170252844700_223,60.000000000000000,35.000000000000000,0.583333333333333
,"4",Camino,"7",Camino 7,20231027_170701523687_356,95.000000000000000,28.000000000000000,0.294736842105263
,"4",Camino,"8",Camino 8,20231027_170727408417_642,69.000000000000000,4.000000000000000,0.057971014492754
,"4",Camino,"9",Camino 9,20231027_170754403682_656,213.000000000000000,3.000000000000000,0.014084507042254
,"4",Camino,"10",Camino 10,20231027_170858417565_456,60.000000000000000,1.000000000000000,0.016666666666667
,"2",Suelo,"33",Suelo 33,20231027_170939851883_773,140.000000000000000,4.000000000000000,0.028571428571429
,"4",Camino,"11",Camino 11,20231027_171504859380_559,68.000000000000000,66.000000000000000,0.970588235294118
,"4",Camino,"12",Camino 12,20231027_171618454101_685,1.991455584928626,1.970045478498796,0.989249016351727
,"4",Camino,"13",Camino 13,20231027_171823989898_195,30.000000000000000,21.000000000000000,0.700000000000000
,"4",Camino,"14",Camino 14,20231027_171944383264_922,96.000000000000000,55.000000000000000,0.572916666666667
,"4",Camino,"15",Camino 15,20231027_172052852281_867,25.000000000000000,16.000000000000000,0.640000000000000
,"1",Bosque antiguo,"22",Bosque antiguo 22,20231027_172207975964_397,12.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"34",Suelo 34,20231027_172311270788_952,64.000000000000000,24.000000000000000,0.375000000000000
,"4",Camino,"16",Camino 16,20231027_172447349442_542,70.000000000000000,49.000000000000000,0.700000000000000
,"2",Suelo,"35",Suelo 35,20231027_172535145215_957,119.000000000000000,76.000000000000000,0.638655462184874
,"4",Camino,"17",Camino 17,20231027_172617511648_836,79.000000000000000,48.000000000000000,0.607594936708861
